From: ICD-10 4th Edition code	Code Description	To: ICD-10 Reprinted (with updates and corrections) 2000 code	Notes	Target Different to Source?	ICD 3char/4char/5char
X46.7	Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Farm	X46.7		N	4
X46.8	Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Other specified places	X46.8		N	4
X46.9	Accidental poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Unspecified place	X46.9		N	4
X47	Accidental poisoning by and exposure to other gases and vapours	X47		N	3
X47.0	Accidental poisoning by and exposure to other gases and vapours; Home	X47.0		N	4
X47.1	Accidental poisoning by and exposure to other gases and vapours; Residential institution	X47.1		N	4
X47.2	Accidental poisoning by and exposure to other gases and vapours; School, other institution and public administrative area	X47.2		N	4
X47.3	Accidental poisoning by and exposure to other gases and vapours; Sports and athletics area	X47.3		N	4
X47.4	Accidental poisoning by and exposure to other gases and vapours; Street and highway	X47.4		N	4
X47.5	Accidental poisoning by and exposure to other gases and vapours; Trade and service area	X47.5		N	4
X47.6	Accidental poisoning by and exposure to other gases and vapours; Industrial and construction area	X47.6		N	4
X47.7	Accidental poisoning by and exposure to other gases and vapours; Farm	X47.7		N	4
X47.8	Accidental poisoning by and exposure to other gases and vapours; Other specified places	X47.8		N	4
X47.9	Accidental poisoning by and exposure to other gases and vapours; Unspecified place	X47.9		N	4
X48	Accidental poisoning by and exposure to pesticides	X48		N	3
X48.0	Accidental poisoning by and exposure to pesticides; Home	X48.0		N	4
X48.1	Accidental poisoning by and exposure to pesticides; Residential institution	X48.1		N	4
X48.2	Accidental poisoning by and exposure to pesticides; School, other institution and public administrative area	X48.2		N	4
X48.3	Accidental poisoning by and exposure to pesticides; Sports and athletics area	X48.3		N	4
X48.4	Accidental poisoning by and exposure to pesticides; Street and highway	X48.4		N	4
X48.5	Accidental poisoning by and exposure to pesticides; Trade and service area	X48.5		N	4
X48.6	Accidental poisoning by and exposure to pesticides; Industrial and construction area	X48.6		N	4
X48.7	Accidental poisoning by and exposure to pesticides; Farm	X48.7		N	4
X48.8	Accidental poisoning by and exposure to pesticides; Other specified places	X48.8		N	4
X48.9	Accidental poisoning by and exposure to pesticides; Unspecified place	X48.9		N	4
X49	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances	X49		N	3
X49.0	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Home	X49.0		N	4
X49.1	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Residential institution	X49.1		N	4
X49.2	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; School, other institution and public administrative area	X49.2		N	4
X49.3	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Sports and athletics area	X49.3		N	4
X49.4	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Street and highway	X49.4		N	4
X49.5	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Trade and service area	X49.5		N	4
X49.6	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Industrial and construction area	X49.6		N	4
X49.7	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Farm	X49.7		N	4
X49.8	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Other specified places	X49.8		N	4
X49.9	Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances; Unspecified place	X49.9		N	4
X50	Overexertion and strenuous or repetitive movements	X50		N	3
X50.0	Overexertion and strenuous or repetitive movements; Home	X50.0		N	4
X50.1	Overexertion and strenuous or repetitive movements; Residential institution	X50.1		N	4
X50.2	Overexertion and strenuous or repetitive movements; School, other institution and public administrative area	X50.2		N	4
X50.3	Overexertion and strenuous or repetitive movements; Sports and athletics area	X50.3		N	4
X50.4	Overexertion and strenuous or repetitive movements; Street and highway	X50.4		N	4
X50.5	Overexertion and strenuous or repetitive movements; Trade and service area	X50.5		N	4
X50.6	Overexertion and strenuous or repetitive movements; Industrial and construction area	X50.6		N	4
X50.7	Overexertion and strenuous or repetitive movements; Farm	X50.7		N	4
X50.8	Overexertion and strenuous or repetitive movements; Other specified places	X50.8		N	4
X50.9	Overexertion and strenuous or repetitive movements; Unspecified place	X50.9		N	4
X51	Travel and motion	X51		N	3
X51.0	Travel and motion; Home	X51.0		N	4
X51.1	Travel and motion; Residential institution	X51.1		N	4
X51.2	Travel and motion; School, other institution and public administrative area	X51.2		N	4
X51.3	Travel and motion; Sports and athletics area	X51.3		N	4
X51.4	Travel and motion; Street and highway	X51.4		N	4
X51.5	Travel and motion; Trade and service area	X51.5		N	4
X51.6	Travel and motion; Industrial and construction area	X51.6		N	4
X51.7	Travel and motion; Farm	X51.7		N	4
X51.8	Travel and motion; Other specified places	X51.8		N	4
X51.9	Travel and motion; Unspecified place	X51.9		N	4
X52	Prolonged stay in weightless environment	X52		N	3
X52.0	Prolonged stay in weightless environment; Home	X52.0		N	4
X52.1	Prolonged stay in weightless environment; Residential institution	X52.1		N	4
X52.2	Prolonged stay in weightless environment; School, other institution and public administrative area	X52.2		N	4
X52.3	Prolonged stay in weightless environment; Sports and athletics area	X52.3		N	4
X52.4	Prolonged stay in weightless environment; Street and highway	X52.4		N	4
X52.5	Prolonged stay in weightless environment; Trade and service area	X52.5		N	4
X52.6	Prolonged stay in weightless environment; Industrial and construction area	X52.6		N	4
X52.7	Prolonged stay in weightless environment; Farm	X52.7		N	4
X52.8	Prolonged stay in weightless environment; Other specified places	X52.8		N	4
X52.9	Prolonged stay in weightless environment; Unspecified place	X52.9		N	4
X53	Lack of food	X53		N	3
X53.0	Lack of food; Home	X53.0		N	4
X53.1	Lack of food; Residential institution	X53.1		N	4
X53.2	Lack of food; School, other institution and public administrative area	X53.2		N	4
X53.3	Lack of food; Sports and athletics area	X53.3		N	4
X53.4	Lack of food; Street and highway	X53.4		N	4
X53.5	Lack of food; Trade and service area	X53.5		N	4
X53.6	Lack of food; Industrial and construction area	X53.6		N	4
X53.7	Lack of food; Farm	X53.7		N	4
X53.8	Lack of food; Other specified places	X53.8		N	4
X53.9	Lack of food; Unspecified place	X53.9		N	4
X54	Lack of water	X54		N	3
X54.0	Lack of water; Home	X54.0		N	4
X54.1	Lack of water; Residential institution	X54.1		N	4
X54.2	Lack of water; School, other institution and public administrative area	X54.2		N	4
X54.3	Lack of water; Sports and athletics area	X54.3		N	4
X54.4	Lack of water; Street and highway	X54.4		N	4
X54.5	Lack of water; Trade and service area	X54.5		N	4
X54.6	Lack of water; Industrial and construction area	X54.6		N	4
X54.7	Lack of water; Farm	X54.7		N	4
X54.8	Lack of water; Other specified places	X54.8		N	4
X54.9	Lack of water; Unspecified place	X54.9		N	4
X57	Unspecified privation	X57		N	3
X57.0	Unspecified privation; Home	X57.0		N	4
X57.1	Unspecified privation; Residential institution	X57.1		N	4
X57.2	Unspecified privation; School, other institution and public administrative area	X57.2		N	4
X57.3	Unspecified privation; Sports and athletics area	X57.3		N	4
X57.4	Unspecified privation; Street and highway	X57.4		N	4
X57.5	Unspecified privation; Trade and service area	X57.5		N	4
X57.6	Unspecified privation; Industrial and construction area	X57.6		N	4
X57.7	Unspecified privation; Farm	X57.7		N	4
X57.8	Unspecified privation; Other specified places	X57.8		N	4
X57.9	Unspecified privation; Unspecified place	X57.9		N	4
X58	Exposure to other specified factors	X58		N	3
X58.0	Exposure to other specified factors; Home	X58.0		N	4
X58.1	Exposure to other specified factors; Residential institution	X58.1		N	4
X58.2	Exposure to other specified factors; School, other institution and public administrative area	X58.2		N	4
X58.3	Exposure to other specified factors; Sports and athletics area	X58.3		N	4
X58.4	Exposure to other specified factors; Street and highway	X58.4		N	4
X58.5	Exposure to other specified factors; Trade and service area	X58.5		N	4
X58.6	Exposure to other specified factors; Industrial and construction area	X58.6		N	4
X58.7	Exposure to other specified factors; Farm	X58.7		N	4
X58.8	Exposure to other specified factors; Other specified places	X58.8		N	4
X58.9	Exposure to other specified factors; Unspecified place	X58.9		N	4
X59	Exposure to unspecified factor	X59		N	3
X59.0	Exposure to unspecified factor; Home	X59.0		N	4
X59.1	Exposure to unspecified factor; Residential institution	X59.1		N	4
X59.2	Exposure to unspecified factor; School, other institution and public administrative area	X59.2		N	4
X59.3	Exposure to unspecified factor; Sports and athletics area	X59.3		N	4
X59.4	Exposure to unspecified factor; Street and highway	X59.4		N	4
X59.5	Exposure to unspecified factor; Trade and service area	X59.5		N	4
X59.6	Exposure to unspecified factor; Industrial and construction area	X59.6		N	4
X59.7	Exposure to unspecified factor; Farm	X59.7		N	4
X59.8	Exposure to unspecified factor; Other specified places	X59.8		N	4
X59.9	Exposure to unspecified factor; Unspecified place	X59.9		N	4
X60	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics	X60		N	3
X60.0	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Home	X60.0		N	4
X60.1	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Residential institution	X60.1		N	4
X60.2	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; School, other institution and public administrative area	X60.2		N	4
X60.3	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Sports and athletics area	X60.3		N	4
X60.4	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Street and highway	X60.4		N	4
X60.5	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Trade and service area	X60.5		N	4
X60.6	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Industrial and construction area	X60.6		N	4
X60.7	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Farm	X60.7		N	4
X60.8	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Other specified places	X60.8		N	4
X60.9	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics; Unspecified place	X60.9		N	4
X61	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified	X61		N	3
X61.0	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Home	X61.0		N	4
X61.1	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Residential institution	X61.1		N	4
X61.2	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; School, other institution and public administrative area	X61.2		N	4
X61.3	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Sports and athletics area	X61.3		N	4
X61.4	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Street and highway	X61.4		N	4
X61.5	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Trade and service area	X61.5		N	4
X61.6	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Industrial and construction area	X61.6		N	4
X61.7	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Farm	X61.7		N	4
X61.8	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Other specified places	X61.8		N	4
X61.9	Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified; Unspecified place	X61.9		N	4
X62	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified	X62		N	3
X62.0	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Home	X62.0		N	4
X62.1	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Residential institution	X62.1		N	4
X62.2	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; School, other institution and public administrative area	X62.2		N	4
X62.3	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Sports and athletics area	X62.3		N	4
X62.4	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Street and highway	X62.4		N	4
X62.5	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Trade and service area	X62.5		N	4
X62.6	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Industrial and construction area	X62.6		N	4
X62.7	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Farm	X62.7		N	4
X62.8	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Other specified places	X62.8		N	4
X62.9	Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified; Unspecified place	X62.9		N	4
X63	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system	X63		N	3
X63.0	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Home	X63.0		N	4
X63.1	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Residential institution	X63.1		N	4
X63.2	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; School, other institution and public administrative area	X63.2		N	4
X63.3	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Sports and athletics area	X63.3		N	4
X63.4	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Street and highway	X63.4		N	4
X63.5	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Trade and service area	X63.5		N	4
X63.6	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Industrial and construction area	X63.6		N	4
X63.7	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Farm	X63.7		N	4
X63.8	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Other specified places	X63.8		N	4
X63.9	Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system; Unspecified place	X63.9		N	4
X64	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances	X64		N	3
X64.0	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Home	X64.0		N	4
X64.1	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Residential institution	X64.1		N	4
X64.2	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; School, other institution and public administrative area	X64.2		N	4
X64.3	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Sports and athletics area	X64.3		N	4
X64.4	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Street and highway	X64.4		N	4
X64.5	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Trade and service area	X64.5		N	4
X64.6	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Industrial and construction area	X64.6		N	4
X64.7	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Farm	X64.7		N	4
X64.8	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Other specified places	X64.8		N	4
X64.9	Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances; Unspecified place	X64.9		N	4
X65	Intentional self-poisoning by and exposure to alcohol	X65		N	3
X65.0	Intentional self-poisoning by and exposure to alcohol; Home	X65.0		N	4
X65.1	Intentional self-poisoning by and exposure to alcohol; Residential institution	X65.1		N	4
X65.2	Intentional self-poisoning by and exposure to alcohol; School, other institution and public administrative area	X65.2		N	4
X65.3	Intentional self-poisoning by and exposure to alcohol; Sports and athletics area	X65.3		N	4
X65.4	Intentional self-poisoning by and exposure to alcohol; Street and highway	X65.4		N	4
X65.5	Intentional self-poisoning by and exposure to alcohol; Trade and service area	X65.5		N	4
X65.6	Intentional self-poisoning by and exposure to alcohol; Industrial and construction area	X65.6		N	4
X65.7	Intentional self-poisoning by and exposure to alcohol; Farm	X65.7		N	4
X65.8	Intentional self-poisoning by and exposure to alcohol; Other specified places	X65.8		N	4
X65.9	Intentional self-poisoning by and exposure to alcohol; Unspecified place	X65.9		N	4
X66	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours	X66		N	3
X66.0	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Home	X66.0		N	4
X66.1	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Residential institution	X66.1		N	4
X66.2	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; School, other institution and public administrative area	X66.2		N	4
X66.3	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Sports and athletics area	X66.3		N	4
X66.4	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Street and highway	X66.4		N	4
X66.5	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Trade and service area	X66.5		N	4
X66.6	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Industrial and construction area	X66.6		N	4
X66.7	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Farm	X66.7		N	4
X66.8	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Other specified places	X66.8		N	4
X66.9	Intentional self-poisoning by and exposure to organic solvents and halogenated hydrocarbons and their vapours; Unspecified place	X66.9		N	4
X67	Intentional self-poisoning by and exposure to other gases and vapours	X67		N	3
X67.0	Intentional self-poisoning by and exposure to other gases and vapours; Home	X67.0		N	4
X67.1	Intentional self-poisoning by and exposure to other gases and vapours; Residential institution	X67.1		N	4
X67.2	Intentional self-poisoning by and exposure to other gases and vapours; School, other institution and public administrative area	X67.2		N	4
X67.3	Intentional self-poisoning by and exposure to other gases and vapours; Sports and athletics area	X67.3		N	4
X67.4	Intentional self-poisoning by and exposure to other gases and vapours; Street and highway	X67.4		N	4
X67.5	Intentional self-poisoning by and exposure to other gases and vapours; Trade and service area	X67.5		N	4
X67.6	Intentional self-poisoning by and exposure to other gases and vapours; Industrial and construction area	X67.6		N	4
X67.7	Intentional self-poisoning by and exposure to other gases and vapours; Farm	X67.7		N	4
X67.8	Intentional self-poisoning by and exposure to other gases and vapours; Other specified places	X67.8		N	4
X67.9	Intentional self-poisoning by and exposure to other gases and vapours; Unspecified place	X67.9		N	4
X68	Intentional self-poisoning by and exposure to pesticides	X68		N	3
X68.0	Intentional self-poisoning by and exposure to pesticides; Home	X68.0		N	4
X68.1	Intentional self-poisoning by and exposure to pesticides; Residential institution	X68.1		N	4
X68.2	Intentional self-poisoning by and exposure to pesticides; School, other institution and public administrative area	X68.2		N	4
X68.3	Intentional self-poisoning by and exposure to pesticides; Sports and athletics area	X68.3		N	4
X68.4	Intentional self-poisoning by and exposure to pesticides; Street and highway	X68.4		N	4
X68.5	Intentional self-poisoning by and exposure to pesticides; Trade and service area	X68.5		N	4
X68.6	Intentional self-poisoning by and exposure to pesticides; Industrial and construction area	X68.6		N	4
X68.7	Intentional self-poisoning by and exposure to pesticides; Farm	X68.7		N	4
X68.8	Intentional self-poisoning by and exposure to pesticides; Other specified places	X68.8		N	4
X68.9	Intentional self-poisoning by and exposure to pesticides; Unspecified place	X68.9		N	4
X69	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances	X69		N	3
X69.0	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Home	X69.0		N	4
X69.1	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Residential institution	X69.1		N	4
X69.2	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; School, other institution and public administrative area	X69.2		N	4
X69.3	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Sports and athletics area	X69.3		N	4
X69.4	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Street and highway	X69.4		N	4
X69.5	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Trade and service area	X69.5		N	4
X69.6	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Industrial and construction area	X69.6		N	4
X69.7	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Farm	X69.7		N	4
X69.8	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Other specified places	X69.8		N	4
X69.9	Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances; Unspecified place	X69.9		N	4
X70	Intentional self-harm by hanging, strangulation and suffocation	X70		N	3
X70.0	Intentional self-harm by hanging, strangulation and suffocation; Home	X70.0		N	4
X70.1	Intentional self-harm by hanging, strangulation and suffocation; Residential institution	X70.1		N	4
X70.2	Intentional self-harm by hanging, strangulation and suffocation; School, other institution and public administrative area	X70.2		N	4
X70.3	Intentional self-harm by hanging, strangulation and suffocation; Sports and athletics area	X70.3		N	4
X70.4	Intentional self-harm by hanging, strangulation and suffocation; Street and highway	X70.4		N	4
X70.5	Intentional self-harm by hanging, strangulation and suffocation; Trade and service area	X70.5		N	4
X70.6	Intentional self-harm by hanging, strangulation and suffocation; Industrial and construction area	X70.6		N	4
X70.7	Intentional self-harm by hanging, strangulation and suffocation; Farm	X70.7		N	4
X70.8	Intentional self-harm by hanging, strangulation and suffocation; Other specified places	X70.8		N	4
X70.9	Intentional self-harm by hanging, strangulation and suffocation; Unspecified place	X70.9		N	4
X71	Intentional self-harm by drowning and submersion	X71		N	3
X71.0	Intentional self-harm by drowning and submersion; Home	X71.0		N	4
X71.1	Intentional self-harm by drowning and submersion; Residential institution	X71.1		N	4
X71.2	Intentional self-harm by drowning and submersion; School, other institution and public administrative area	X71.2		N	4
X71.3	Intentional self-harm by drowning and submersion; Sports and athletics area	X71.3		N	4
X71.4	Intentional self-harm by drowning and submersion; Street and highway	X71.4		N	4
X71.5	Intentional self-harm by drowning and submersion; Trade and service area	X71.5		N	4
X71.6	Intentional self-harm by drowning and submersion; Industrial and construction area	X71.6		N	4
X71.7	Intentional self-harm by drowning and submersion; Farm	X71.7		N	4
X71.8	Intentional self-harm by drowning and submersion; Other specified places	X71.8		N	4
X71.9	Intentional self-harm by drowning and submersion; Unspecified place	X71.9		N	4
X72	Intentional self-harm by handgun discharge	X72		N	3
X72.0	Intentional self-harm by handgun discharge; Home	X72.0		N	4
X72.1	Intentional self-harm by handgun discharge; Residential institution	X72.1		N	4
X72.2	Intentional self-harm by handgun discharge; School, other institution and public administrative area	X72.2		N	4
X72.3	Intentional self-harm by handgun discharge; Sports and athletics area	X72.3		N	4
X72.4	Intentional self-harm by handgun discharge; Street and highway	X72.4		N	4
X72.5	Intentional self-harm by handgun discharge; Trade and service area	X72.5		N	4
X72.6	Intentional self-harm by handgun discharge; Industrial and construction area	X72.6		N	4
X72.7	Intentional self-harm by handgun discharge; Farm	X72.7		N	4
X72.8	Intentional self-harm by handgun discharge; Other specified places	X72.8		N	4
X72.9	Intentional self-harm by handgun discharge; Unspecified place	X72.9		N	4
X73	Intentional self-harm by rifle, shotgun and larger firearm discharge	X73		N	3
X73.0	Intentional self-harm by rifle, shotgun and larger firearm discharge; Home	X73.0		N	4
X73.1	Intentional self-harm by rifle, shotgun and larger firearm discharge; Residential institution	X73.1		N	4
X73.2	Intentional self-harm by rifle, shotgun and larger firearm discharge; School, other institution and public administrative area	X73.2		N	4
X73.3	Intentional self-harm by rifle, shotgun and larger firearm discharge; Sports and athletics area	X73.3		N	4
X73.4	Intentional self-harm by rifle, shotgun and larger firearm discharge; Street and highway	X73.4		N	4
X73.5	Intentional self-harm by rifle, shotgun and larger firearm discharge; Trade and service area	X73.5		N	4
X73.6	Intentional self-harm by rifle, shotgun and larger firearm discharge; Industrial and construction area	X73.6		N	4
X73.7	Intentional self-harm by rifle, shotgun and larger firearm discharge; Farm	X73.7		N	4
X73.8	Intentional self-harm by rifle, shotgun and larger firearm discharge; Other specified places	X73.8		N	4
X73.9	Intentional self-harm by rifle, shotgun and larger firearm discharge; Unspecified place	X73.9		N	4
X74	Intentional self-harm by other and unspecified firearm discharge	X74		N	3
X74.0	Intentional self-harm by other and unspecified firearm discharge; Home	X74.0		N	4
X74.1	Intentional self-harm by other and unspecified firearm discharge; Residential institution	X74.1		N	4
X74.2	Intentional self-harm by other and unspecified firearm discharge; School, other institution and public administrative area	X74.2		N	4
X74.3	Intentional self-harm by other and unspecified firearm discharge; Sports and athletics area	X74.3		N	4
X74.4	Intentional self-harm by other and unspecified firearm discharge; Street and highway	X74.4		N	4
X74.5	Intentional self-harm by other and unspecified firearm discharge; Trade and service area	X74.5		N	4
X74.6	Intentional self-harm by other and unspecified firearm discharge; Industrial and construction area	X74.6		N	4
X74.7	Intentional self-harm by other and unspecified firearm discharge; Farm	X74.7		N	4
X74.8	Intentional self-harm by other and unspecified firearm discharge; Other specified places	X74.8		N	4
X74.9	Intentional self-harm by other and unspecified firearm discharge; Unspecified place	X74.9		N	4
X75	Intentional self-harm by explosive material	X75		N	3
X75.0	Intentional self-harm by explosive material; Home	X75.0		N	4
X75.1	Intentional self-harm by explosive material; Residential institution	X75.1		N	4
X75.2	Intentional self-harm by explosive material; School, other institution and public administrative area	X75.2		N	4
X75.3	Intentional self-harm by explosive material; Sports and athletics area	X75.3		N	4
X75.4	Intentional self-harm by explosive material; Street and highway	X75.4		N	4
X75.5	Intentional self-harm by explosive material; Trade and service area	X75.5		N	4
X75.6	Intentional self-harm by explosive material; Industrial and construction area	X75.6		N	4
X75.7	Intentional self-harm by explosive material; Farm	X75.7		N	4
X75.8	Intentional self-harm by explosive material; Other specified places	X75.8		N	4
X75.9	Intentional self-harm by explosive material; Unspecified place	X75.9		N	4
X76	Intentional self-harm by smoke, fire and flames	X76		N	3
X76.0	Intentional self-harm by smoke, fire and flames; Home	X76.0		N	4
X76.1	Intentional self-harm by smoke, fire and flames; Residential institution	X76.1		N	4
X76.2	Intentional self-harm by smoke, fire and flames; School, other institution and public administrative area	X76.2		N	4
X76.3	Intentional self-harm by smoke, fire and flames; Sports and athletics area	X76.3		N	4
X76.4	Intentional self-harm by smoke, fire and flames; Street and highway	X76.4		N	4
X76.5	Intentional self-harm by smoke, fire and flames; Trade and service area	X76.5		N	4
X76.6	Intentional self-harm by smoke, fire and flames; Industrial and construction area	X76.6		N	4
X76.7	Intentional self-harm by smoke, fire and flames; Farm	X76.7		N	4
X76.8	Intentional self-harm by smoke, fire and flames; Other specified places	X76.8		N	4
X76.9	Intentional self-harm by smoke, fire and flames; Unspecified place	X76.9		N	4
X77	Intentional self-harm by steam, hot vapours and hot objects	X77		N	3
X77.0	Intentional self-harm by steam, hot vapours and hot objects; Home	X77.0		N	4
X77.1	Intentional self-harm by steam, hot vapours and hot objects; Residential institution	X77.1		N	4
X77.2	Intentional self-harm by steam, hot vapours and hot objects; School, other institution and public administrative area	X77.2		N	4
X77.3	Intentional self-harm by steam, hot vapours and hot objects; Sports and athletics area	X77.3		N	4
X77.4	Intentional self-harm by steam, hot vapours and hot objects; Street and highway	X77.4		N	4
X77.5	Intentional self-harm by steam, hot vapours and hot objects; Trade and service area	X77.5		N	4
X77.6	Intentional self-harm by steam, hot vapours and hot objects; Industrial and construction area	X77.6		N	4
X77.7	Intentional self-harm by steam, hot vapours and hot objects; Farm	X77.7		N	4
X77.8	Intentional self-harm by steam, hot vapours and hot objects; Other specified places	X77.8		N	4
X77.9	Intentional self-harm by steam, hot vapours and hot objects; Unspecified place	X77.9		N	4
X78	Intentional self-harm by sharp object	X78		N	3
X78.0	Intentional self-harm by sharp object; Home	X78.0		N	4
